Retention Time (s),Mean Bit Flips,Std Dev,Min,Max,Coefficient of Variation,Raw Data
0.1,0.0,0.0,0,0,0.0,"0, 0, 0, 0, 0"
0.6444444444444445,0.0,0.0,0,0,0.0,"0, 0, 0, 0, 0"
1.188888888888889,1.0,0.0,1,1,0.0,"1, 1, 1, 1, 1"
1.7333333333333336,4.2,0.39999999999999997,4,5,0.09523809523809523,"5, 4, 4, 4, 4"
2.277777777777778,13.6,1.019803902718557,12,15,0.07498558108224684,"13, 14, 14, 12, 15"
2.8222222222222224,56.8,2.039607805437114,54,60,0.03590858812389285,"56, 54, 56, 60, 58"
3.366666666666667,173.2,5.192301994298868,165,180,0.029978648927822565,"176, 170, 175, 180, 165"
3.911111111111112,520.2,7.30479294709987,507,529,0.014042277868319625,"529, 524, 520, 507, 521"
4.455555555555556,1096.8,27.556487439439735,1050,1131,0.025124441502042065,"1109, 1131, 1050, 1109, 1085"
5.0,2268.6,90.51099380738232,2120,2364,0.03989729075525977,"2245, 2251, 2364, 2363, 2120"
