================================================================================
Rowhammer DRAM数据保持时间测试结果
================================================================================
测试时间: 2025-11-25 20:25:14

测试参数:
  起始时间: 0.100s
  结束时间: 3.000s
  重复次数: 5次/时间点
  数据模式: all_1
  额外参数: --no-refresh
  时间精度: 0.000010s
  最大迭代: 25次
  实际迭代: 19次

测试结果:
  🎯 最短位翻转时间: 1.000005s
     等效纳秒: 1000005147ns
  ✅ 测试状态: 成功找到位翻转临界时间

详细测试过程:
迭代   测试时间(s)        位翻转      成功率      总翻转      范围下限(s)        范围上限(s)       
--------------------------------------------------------------------------------
1    1.550000       是        100.0%   18       0.100000       3.000000      
2    0.825000       否        0.0%     0        0.100000       1.550000      
3    1.187500       是        40.0%    2        0.825000       1.550000      
4    1.006250       是        20.0%    1        0.825000       1.187500      
5    0.915625       否        0.0%     0        0.825000       1.006250      
6    0.960937       否        0.0%     0        0.915625       1.006250      
7    0.983594       否        0.0%     0        0.960938       1.006250      
8    0.994922       否        0.0%     0        0.983594       1.006250      
9    1.000586       是        40.0%    2        0.994922       1.006250      
10   0.997754       否        0.0%     0        0.994922       1.000586      
11   0.999170       否        0.0%     0        0.997754       1.000586      
12   0.999878       否        0.0%     0        0.999170       1.000586      
13   1.000232       是        20.0%    1        0.999878       1.000586      
14   1.000055       是        20.0%    1        0.999878       1.000232      
15   0.999966       否        0.0%     0        0.999878       1.000055      
16   1.000011       是        40.0%    2        0.999966       1.000055      
17   0.999989       否        0.0%     0        0.999966       1.000011      
18   1.000000       否        0.0%     0        0.999989       1.000011      
19   1.000005       是        40.0%    2        1.000000       1.000011      

重复测试详情:
迭代   重复   结果       位翻转数      
------------------------------
1    1    成功       4         
1    2    成功       3         
1    3    成功       4         
1    4    成功       4         
1    5    成功       3         
2    1    失败       0         
2    2    失败       0         
2    3    失败       0         
2    4    失败       0         
2    5    失败       0         
3    1    失败       0         
3    2    失败       0         
3    3    失败       0         
3    4    成功       1         
3    5    成功       1         
4    1    失败       0         
4    2    失败       0         
4    3    失败       0         
4    4    成功       1         
4    5    失败       0         
5    1    失败       0         
5    2    失败       0         
5    3    失败       0         
5    4    失败       0         
5    5    失败       0         
6    1    失败       0         
6    2    失败       0         
6    3    失败       0         
6    4    失败       0         
6    5    失败       0         
7    1    失败       0         
7    2    失败       0         
7    3    失败       0         
7    4    失败       0         
7    5    失败       0         
8    1    失败       0         
8    2    失败       0         
8    3    失败       0         
8    4    失败       0         
8    5    失败       0         
9    1    失败       0         
9    2    失败       0         
9    3    成功       1         
9    4    成功       1         
9    5    失败       0         
10   1    失败       0         
10   2    失败       0         
10   3    失败       0         
10   4    失败       0         
10   5    失败       0         
11   1    失败       0         
11   2    失败       0         
11   3    失败       0         
11   4    失败       0         
11   5    失败       0         
12   1    失败       0         
12   2    失败       0         
12   3    失败       0         
12   4    失败       0         
12   5    失败       0         
13   1    成功       1         
13   2    失败       0         
13   3    失败       0         
13   4    失败       0         
13   5    失败       0         
14   1    失败       0         
14   2    成功       1         
14   3    失败       0         
14   4    失败       0         
14   5    失败       0         
15   1    失败       0         
15   2    失败       0         
15   3    失败       0         
15   4    失败       0         
15   5    失败       0         
16   1    失败       0         
16   2    成功       1         
16   3    失败       0         
16   4    成功       1         
16   5    失败       0         
17   1    失败       0         
17   2    失败       0         
17   3    失败       0         
17   4    失败       0         
17   5    失败       0         
18   1    失败       0         
18   2    失败       0         
18   3    失败       0         
18   4    失败       0         
18   5    失败       0         
19   1    成功       1         
19   2    失败       0         
19   3    成功       1         
19   4    失败       0         
19   5    失败       0         
